"","AUS.1","AUS.2","CHI.1","CHI.2","FRA.1","FRA.2","GER.1","GER.2","ITA1.1","ITA1.2","ITA2.1","ITA2.2","JAP.1","JAP.2","Meta.1","Meta.2","USA.1","USA.2"
"Pathway131",0.0788570190738508,0.0291970802919708,0.92663384161664,0.0224977502249775,0.00517196713872613,0.0107489251074893,0.0458595909265591,0.103739626037396,NA,0.5000499950005,NA,0.5000499950005,NA,0.5000499950005,0.000108893932246855,1e-04,0.344282917889396,0.13038696130387
"Pathway174",0.00416694420127709,0.0038996100389961,0.00030838033433762,0.00134986501349865,NA,0.5000499950005,0.631044684516443,0.287721227877212,0.919741687007483,0.351014898510149,NA,0.5000499950005,0.174877390883386,0.113188681131887,0.000108893932246855,0.00029997,0.472621095739043,0.0533946605339466
"Pathway108",NA,0.5000499950005,0.00030838033433762,0.00114988501149885,NA,0.5000499950005,0.0289049630364392,0.0384961503849615,0.522978345045129,0.24972502749725,NA,0.5000499950005,0.157188419620443,0.0240975902409759,2.19587079247672e-06,0.00049995,0.506725988078864,0.0982901709829017
"Pathway295",0.0142458086556656,0.026997300269973,0.991383448241009,0.225477452254775,0.0236004221231395,0.0331466853314669,0.000362894709767712,0.0325467453254675,NA,0.5000499950005,NA,0.5000499950005,NA,0.5000499950005,0.000730051201633346,0.00149985,0.239644652245289,0.0745925407459254
"Pathway55",0.0674108793077399,0.0201479852014799,NA,0.5000499950005,0.00725669996266504,0.00854914508549145,8.44535715748848e-05,0.00714928507149285,0.251541934257951,0.040995900409959,NA,0.5000499950005,0.74027833045966,0.158334166583342,0.149270956999068,0.00739926,0.226975332325695,0.138636136386361
"Pathway21",0.00638907721622814,0.00214978502149785,0.991383448241009,0.178182181781822,0.00208386011319064,0.0112988701129887,0.734722543994436,0.107639236076392,0.0666683335251853,0.0522947705229477,0.973464279128322,0.158834116588341,0.74027833045966,0.493100689931007,0.00583026657544559,0.0017998200179982,0.733464887372483,0.167583241675832
"Pathway378",0.00638907721622814,0.00474952504749525,0.991383448241009,0.0674932506749325,0.129920202362099,0.0246475352464754,0.0923152661892745,0.0024997500249975,0.0161001446164048,0.0291470852914709,0.973464279128322,0.26007399260074,NA,0.5000499950005,0.00476860625159473,0.0012998700129987,0.872808055445819,0.239276072392761
"Pathway16",0.0111143277430045,0.00464953504649535,NA,0.5000499950005,0.0142216330419056,0.0334466553344666,0.00845987672006353,0.00474952504749525,0.0268513863912942,0.0215478452154785,0.635515332546395,0.464703529647035,0.891873450212738,0.270922907709229,0.000123408847471618,0.0011998800119988,0.970155264469058,0.46030396960304
"Pathway30",0.0143398541006214,0.00694930506949305,NA,0.5000499950005,0.00722840131425345,0.0182981701829817,0.0115541996674438,0.0063993600639936,0.0161001446164048,0.0297970202979702,0.623848322944315,0.436506349365063,0.74027833045966,0.216028397160284,9.10634813850986e-05,0.0010998900109989,0.9426176791065,0.489351064893511
"Pathway350",0.0109039879196521,0.0082991700829917,NA,0.5000499950005,0.000487980650513709,0.0293970602939706,0.000459716673080476,0.0015998400159984,0.0265390465809746,0.0236976302369763,0.440462457427596,0.345365463453655,NA,0.5000499950005,7.9344720349341e-05,0.000999900009999,0.476317908891098,0.12978702129787
"Pathway96",0.00638907721622814,0.00134986501349865,NA,0.5000499950005,0.00525051036993192,0.0330966903309669,0.284072331894911,0.224777522247775,0.0572771396696407,0.0166483351664834,1,0.376112388761124,1,0.271572842715728,0.00102263788569746,0.000999900009999,0.647170309325668,0.120587941205879
"Pathway324",0.00638907721622814,0.0166483351664834,NA,0.5000499950005,0.000137472485007473,0.0064993500649935,0.0284700951262702,0.00964903509649035,NA,0.5000499950005,0.538327923963203,0.254374562543746,NA,0.5000499950005,0.000108893932246855,0.0008999100089991,0.344282917889396,0.0498950104989501
"Pathway284",0.0122959797369095,0.0131486851314869,NA,0.5000499950005,0.000101265436739781,0.005999400059994,0.000209569531256064,0.0004999500049995,0.0361002593080927,0.0706429357064294,0.496887839543233,0.258174182581742,NA,0.5000499950005,9.10634813850986e-05,0.0007999200079992,0.777383185126178,0.325717428257174
